谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
［龚氏］重修宗谱稿略不分卷（安徽省合肥市）,龚心湛,龚,民國37年(1948),--,先祖同上。譜載碑記、皌議、譜論、行傳等。書名據書衣題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/umm7zj8wk76ieujy
［龚氏］家乘述闻不分卷（浙江省杭州市）,龚守正,龚,清道光間,--,始遷祖潮，明代人。書名據書簽題。記事至清道光二十二年。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/khr6tdljoj3cqk59
［麻氏］亲亲余事上编六卷下编六卷续编六卷（江西省吉安市）,麻敬业,麻,清道光十五年（1835）,真乐堂,清嘉慶二十五年作者纂修《親親録》（即族譜），此譜为其補作。始遷祖績，明代人。書名據版心、書名頁、卷端題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/s1jw27uga2hp25ik
［魏氏］钜鹿堂上历代族簿（台湾省南投县）（台湾省/南投县）,魏禹,魏,不详,--,始祖邦达。迁台湾始迁祖仁相。后裔散居南投县水里乡顶崁村族等地。记事至1982年。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/5se25y6kd9xbascy
［高氏］近亲祖上系统图（台湾省/台北市）,高铭池,高,1982,--,始祖子仲。族居台北北投区。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/rn8s33rnm91le9i2
［高氏］近亲祖上系统图（台湾省/台北市）,佚名,高,1976,--,始祖寿保。始迁祖钟万，清代迁台湾。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/vsmpj6l5gggyzp3k
［高氏］稽查族谱总集簿不分卷（台湾省澎湖县）,不详,高,1913年,--,始祖秋，明清之際人。族居澎湖湖西乡。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/hi8lfcqgpjq8v3ar
［冯氏］始迁嘉兴本支分谱不分卷（浙江省嘉兴市）,合族,冯,民國,--,始迁祖景夏，字樹臣，一字印君，號伯陽，清代人。书名據目录、卷端题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/epu41xxwv4u9fqle
［冯氏］十世祖朝瑞公遗下族谱（台湾省新竹市）,不详,冯,1950年,--,始祖萬八郎。臺灣始迁祖朝瑞，清代人。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/8b7lmz15uz3rycrb
［颜氏］陋巷志八卷（山东省济宁市曲阜市）,吕兆祥,--,明崇禎間,--,是書乃闕里颜氏家志，奉孔子學生颜回（字子淵）为一世祖。颜氏原無專志，其家族事略並載於闕里三氏志中。明正德初年回六十一代孫翰林院五經博士鋐草創初稿，屬提督學政陳鎬編輯成書，共四卷。萬曆年間第六十五代孫祚又增補为八卷。此本是曲阜市颜子研究會於1998年至2002年據明崇禎年間重修志之殘本參考清代刻本校輯而成。卷一像圖，卷二至三世家，卷四恩典，卷五至八藝文。崇禎志參訂者光魯，颜回六十七代孫，明天啟二年襲翰林院五經博士。其子紹統於崇禎十四年繼襲。書名據版心*書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/knuvtswumnafsqft
［顾氏］枫洞叁房族谱四卷（广东省云浮市新兴县）,顾瑞清,顾,據1915年鉛印本,--,始遷祖仁傑，明代人。書名據書名頁題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/e2s11a1ax2dwtc1p
［颜氏］泗滨志（福建省泉州市德化县）（福建省/泉州市/德化县）,颜沽滥,颜,2000,--,始祖友别。始迁祖芳（字教先），唐代人。 卷一经济和社会发展，卷二龙浔泗滨颜氏族谱，卷三人口繁衍。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/uqilk7fvth3osmir
［韦氏］来连始祖宗支不分卷（广东省清远市连山壮族瑶族自治县）,韦大钧,韦,1948年,--,始迁祖金滿，壯族，明代人。书名据书衣题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/2gl6r14u739654hh
［韦氏］姓谱宗支不分卷（广东省清远市连山壮族瑶族自治县）,韦安霖,韦,民國,--,始迁祖法應，明代人。书名据书衣题。增補至1978年。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/lhmq3hlbfssnqyl3
［陶氏］松友祖家谱三卷 （广东省江门市新会区）,陶杰杨,陶,清光緒九年（1883）,--,始祖文質。始遷祖政遒，又作松友。後裔散居廣東省及香港泥圍等地。缺卷二。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/ai26zgrym1xvktu8
［陈氏］颍川堂十二世历代高曾祖族谱（台湾省台中市）,不详,陈,1982年,--,始祖泰，清代移居臺灣，後裔散居臺中縣后里鄉中和村等地。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/z9zml67qbnw71p3x
［陈氏］氏族系统来源（台湾省花莲县）,不详,陈,1959年,--,--,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/2etnsqiducq9q942
［陈氏］文堂乡约家法（安徽省黄山市祁门县）,陈德信,陈,明隆慶六年（1572）,--,始遷祖百三，唐代人。書名據序言題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/i85ha7ngdnl71rc1
［关氏］族史“元皇世系”家谱（河南省濮阳市清丰县）,关昌竹;等,关,據1986年稿本,--,始祖孛兒只斤鐵木黎，元末隱居内黄縣馬次范村。其子關傑，行四，明初自内黄縣遷居清豐。書名據封面題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/z5lt1cexl44jxldy
［关氏］元昌公家谱二卷（广东省广州市番禺区）,关颂声,关,民國26年(1937),--,始遷祖翔，號悦隆，行一，明正統九年攜子文祐、禮祐自廣州郡城鮉行街遷居番禺縣西塱鄉。譜載始遷祖翔十八世孫振容（字元昌）一派。卷一譜序、凡例、十八世振容(元昌)支世系、小傳、墓銘、服制圖、花甲表，卷二小傳、像片。書名據目录題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/yg2q15m34hi187a9
［钱］牧斋晚年家乘文一卷附一卷（江苏省苏州市常熟市）,钱谦益,钱,清宣統3年(1911),--,始遷祖元孫，宋末自台州遷海。六世祖鏞、珍，派分爲海禄園、奚浦兩支。内容較钱谦益修《海錢氏家乘》條。增王文濡跋，附牧齋年譜。書名據版心、卷端題。書名頁題錢牧齋晚年文。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/htfnp4n4pspw993s
［钮祜禄氏］额宜都巴图鲁世系谱一卷（辽宁省）,不详,钮钴禄,清,--,始祖索，名索和濟，稱曰巴颜，明代人。始迁祖額宜都，清代人。记事至清嘉慶间。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/qe9f9l8j6vldi9bi
［钮祜禄氏］弘毅公第十房家谱不分卷（辽宁省）,不详,钮钴禄,清,--,始祖索，名索和濟，稱曰巴颜，明代人。始迁祖額宜都，清代人。书名據书衣题。记事至清嘉慶八年。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/7gejtio9opzb26ho
［邬氏］渔潭村志（江西省宜春市丰城市）,邬书金,邬,1987年,--,始祖惟祥。三修本。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/11rxb5viwpp8rp88
